clusters,average_submitted_chrg_amt_mean,average_submitted_chrg_amt_median,average_submitted_chrg_amt_count,line_srvc_cnt_mean,line_srvc_cnt_median,line_srvc_cnt_count,coverage_rate_mean,coverage_rate_median,coverage_rate_count,total_spending_mean,total_spending_median,total_spending_count,Latitude_mean,Latitude_median,Latitude_count,Longitude_mean,Longitude_median,Longitude_count
46,361.85472017531674,295.66216536,464,92.45905172413794,58.5,464,0.765845413164217,0.7587589438585511,464,35835.77349138444,14639.999999916,464,43.51233042887931,43.595763,464,-116.17516497844855,-116.19903000000001,464
47,504.7886129946077,475.0,2001,88.26436781609195,55.0,2001,0.7742546592759159,0.7698450258581242,2001,42452.68961021784,16695.0,2001,32.83719830584726,32.785,2001,-117.15655764167911,-117.16715,2001
48,453.20699585246876,351.93678161,192,109.22395833333333,76.0,192,0.7376224160890086,0.737092883165281,192,51367.50973951706,21768.499999940002,192,45.51734152083313,45.737525,192,-108.61245489583318,-108.48754,192
49,997.6258949252726,993.92,33,73.66666666666667,57.0,33,0.7526927561804557,0.7641359507398862,33,63765.7272723448,42351.9999989,33,58.08678490909087,58.358599,33,-134.28646363636358,-134.54748999999998,33
50,661.0772481460614,495.0,212,110.20754716981132,79.0,212,0.7489055820913408,0.7587193372754251,212,71023.04669811034,33077.430000085,212,40.3562403490567,40.428734999999996,212,-86.66550750000007,-86.81846999999999,212
51,553.1360192335106,493.64060257999995,584,94.71575342465754,62.0,584,0.8043693679473728,0.783999298983526,584,54636.06366441509,20239.499999719996,584,37.723891289383495,37.673513,584,-120.95246409417804,-120.95566000000001,584
52,541.8013969165522,521.317540325,1516,81.01385224274406,54.0,1516,0.7478531983540939,0.7567706175686342,1516,44332.34418209248,20502.0,1516,45.47574690237489,45.491023999999996,1516,-122.742975353562,-122.69379599999999,1516
53,672.4216409751679,567.0,520,121.38653846153846,76.0,520,0.7461386454283077,0.7526321820714013,520,74038.83586551051,36451.4999999,520,41.79034920384628,41.707615999999994,520,-86.2761391942306,-86.25253000000001,520
54,667.5600735520671,638.0,643,105.95956454121307,60.0,643,0.7570367504561907,0.7615836161591797,643,72056.44281491029,30204.000000000004,643,32.8827808600312,32.813518,643,-80.00982440124426,-79.94711,643
55,1007.3051463148425,956.0,1163,90.8469475494411,58.0,1163,0.7593363266391647,0.7667275462011174,1163,99341.3003354107,44188.99999989,1163,26.318868077385936,26.191111,1163,-80.18960208082555,-80.1356,1163
56,551.1399547900833,414.57594936500004,1200,97.58416666666666,67.0,1200,0.754295443977214,0.7595296455433281,1200,54772.64956668163,23771.975,1200,40.10695267750026,40.072246,1200,-76.77035723750083,-76.71328000000001,1200
57,434.49110307275754,315.06432927,729,96.61865569272976,63.0,729,0.7807092018348987,0.7749647912442299,729,40496.46086417757,19341.999999863998,729,43.17474407681801,43.214613,729,-77.60753825240079,-77.684264,729
58,750.1647910871637,646.6214957049999,384,97.53645833333333,65.0,384,0.7492629802208106,0.7581247431158469,384,79276.38218742548,34180.0,384,32.67359124218742,32.830839000000005,384,-83.45840627864595,-83.63529,384
59,684.2934071344354,588.0,1701,94.78600823045268,60.0,1701,0.7549496986040954,0.7631908989558965,1701,69878.94009402014,28696.0,1701,40.03965857671887,40.003681,1701,-82.96453992357635,-83.02148000000001,1701
60,765.3411566790271,672.3219086050001,624,101.74038461538461,67.0,624,0.7501683901348865,0.760352191821893,624,83174.32241987581,27435.500000040003,624,35.20651007211524,35.133825,624,-90.06211633333321,-89.963,624
61,586.3469274088482,441.24888889,565,100.53274336283185,69.0,565,0.7630804939932639,0.7678533308783047,565,60944.6684424354,24322.999999300002,565,32.6718077769912,32.490777,565,-93.76990086725657,-93.76760999999999,565
62,897.6495986190722,854.82278481,513,90.90448343079922,56.0,513,0.7506563331439537,0.7609387208412397,513,88896.82653023132,31710.0,513,32.02710418128671,31.775458,513,-106.31715782651042,-106.43047,513
63,612.4812571426826,477.0,878,88.32915717539863,56.0,878,0.7550174930337952,0.7638192697633434,878,58693.56528464176,25176.00000002,878,42.69043438268801,42.654978,878,-73.76392682232334,-73.80053000000001,878
64,478.6561200693189,357.63320183999997,912,94.17434210526316,65.0,912,0.7403294013968467,0.7460766773967911,912,45106.85526310701,26421.279999725,912,43.71488765350894,43.658632,912,-70.42467324561349,-70.2911,912
65,549.2048250905774,431.10853206,1270,98.70157480314961,63.0,1270,0.7587178114891753,0.7674754560510133,1270,52866.02307085195,21848.50000008,1270,36.88060769370076,36.839648,1270,-76.27204739133806,-76.24511,1270
66,537.1477554108732,421.14285714,197,99.1725888324873,71.0,197,0.7396223150012721,0.7522756774887998,197,52527.713197844,22688.4,197,46.258926913705636,46.210957,197,-118.94091629441651,-119.28137,197
67,597.7617955056248,482.0,448,94.05357142857143,63.0,448,0.7498138211930757,0.7616026996373504,448,57797.97725451643,26739.500000059998,448,37.99999048660735,37.705384,448,-97.25625832589287,-97.31777,448
68,487.1697638807507,420.57758621,297,114.24579124579125,76.0,297,0.7494244238468734,0.7593994575993627,297,57939.91393934043,35000.00000048,297,41.65629046127942,41.538582,297,-90.41674572390552,-90.56223,297
69,381.7216298533998,235.75,375,68.728,42.0,375,0.7479715168805608,0.7594015845006777,375,31690.571173336997,9480.0,375,39.173921909333224,39.072831,375,-107.71359535999989,-107.8625,375
70,782.0664881690345,716.0,29,72.82758620689656,33.0,29,0.7396869102558469,0.7507280887307735,29,49586.122413731246,20705.0,29,24.85983199999999,24.859832,29,-168.02181500000003,-168.021815,29
71,533.7836963407859,436.56491617999995,472,101.8072033898305,72.0,472,0.7305309392109516,0.7363538489078263,472,55436.138686349994,29064.499999895,472,37.03318263559314,37.161299,472,-93.07244898305072,-93.2519,472
72,639.3845368356187,505.0,1702,115.34253819036428,83.0,1702,0.7501408824217676,0.7603232994894333,1702,71916.90311988024,31153.00000012,1702,35.268957799647744,35.208991999999995,1702,-80.90741314218646,-80.85539,1702
73,740.0597313459792,653.0,2776,92.31376080691642,59.0,2776,0.7630459866291193,0.7690698360369925,2776,72666.229034571,28472.0,2776,33.829140307276305,33.794055,2776,-84.30020710266658,-84.37203000000001,2776
74,503.083998061673,421.120625,413,82.93462469733656,61.0,413,0.7488960556782233,0.757111917344093,413,44354.10682813429,23694.72,413,43.934440738498765,44.022513000000004,413,-92.60757095883774,-92.466826,413
75,625.5735886995188,493.0,1208,103.16970198675497,72.0,1208,0.7450953785507165,0.7550408302959695,1208,66918.25899002879,29709.4999999,1208,35.36868323261568,35.433659999999996,1208,-97.43887552980067,-97.52496,1208
76,429.7026666670046,359.43888889,214,99.77570093457943,77.5,214,0.7347283422195742,0.743753878697,214,43099.15401868312,29402.00000019,214,46.88290525700946,46.900348,214,-96.96734585046724,-96.81602,214
77,611.7888272290845,414.0,611,96.48281505728315,64.0,611,0.7509770117668905,0.7613599498847228,611,63336.38597379854,22890.0,611,32.433815638297716,32.334738,611,-90.21467262847769,-90.16933,611
78,783.4100446501,659.484615385,20,100.2,71.5,20,0.7412818838291297,0.7389896531492064,20,89850.6475009396,33900.49999996,20,60.82213674999999,60.766603,20,-161.3335785,-161.88006000000001,20
79,646.9501288786282,554.0,406,95.21182266009852,69.5,406,0.748663130528194,0.7523984702462452,406,57501.68465521066,29057.36499987,406,44.97930853201961,44.489059000000005,406,-88.01514522167487,-87.99717,406
80,637.1282920768189,484.882943145,370,97.63783783783784,60.0,370,0.7470975953789436,0.7569358315675332,370,65442.95597302507,25667.499999984997,370,37.87896919459461,37.833826,370,-81.312981189189,-81.2145,370
81,993.8246860215169,950.3236825399999,338,96.09171597633136,62.5,338,0.7555202307584562,0.7643946192961095,338,102353.15781055506,37449.87500009,338,27.81346958579895,27.777921999999997,338,-97.38676076923053,-97.42695,338
82,860.2707900958603,829.0,1608,99.11007462686567,67.0,1608,0.7843953782435579,0.7742607510213957,1608,86571.12283576388,38722.00000009,1608,28.651340546019853,28.557578999999997,1608,-81.34116395895555,-81.35594,1608
83,627.8599856717365,556.52096774,129,122.45736434108527,103.0,129,0.7421001811619955,0.7511654034774855,129,81179.75697666216,40042.50000012,129,43.67119501550395,44.085288,129,-103.17212274418614,-103.21335,129
84,578.3532624316401,465.50588235,1623,99.9932224276032,71.0,1623,0.7505655766406322,0.7592544906806742,1623,63066.441306230954,31780.00000019,1623,41.87463573813863,41.791776,1623,-72.62020989340728,-72.6632,1623
85,621.3499383946715,548.02083333,527,90.18026565464896,58.0,527,0.7524197478549932,0.7576660879355257,527,60264.473738123546,24440.0,527,40.73782908918421,40.702487,527,-89.45400818785598,-89.58979699999999,527
86,687.9229320869335,550.0,2619,94.12600229095075,63.0,2619,0.7708459727107073,0.772162574157966,2619,70723.0434287434,28500.0,2619,38.99085397250868,38.933310999999996,2619,-77.22080330546122,-77.10185,2619
87,586.5143803401718,368.1496063,321,94.03426791277259,62.0,321,0.7462640235058949,0.7562298568753569,321,64181.82420542302,20611.999999400003,321,33.60778646728979,33.516329999999996,321,-88.27544489408088,-88.43297,321
88,566.8348823659356,494.83196721499996,196,101.76020408163265,74.5,196,0.7614972743292605,0.7579081474358975,196,55971.35285703801,25688.0,196,39.46522403061226,39.491076,196,-121.51195770408162,-121.53735,196
89,698.7743054662244,649.738636365,276,128.5036231884058,102.0,276,0.7965089132550811,0.7839805442447789,276,89013.06054338525,51434.50000004,276,34.36104714492755,34.221512,276,-77.76814086231882,-77.88452,276
90,558.3850261560636,498.260858455,408,87.18137254901961,54.5,408,0.7851605502110705,0.7815530703369828,408,47125.59911767061,18125.0,408,35.41096817647063,35.387058,408,-118.98919321813692,-119.01595,408
91,495.88844406958094,430.46,1581,97.9348513598988,71.0,1581,0.7583803868213572,0.7665314105876351,1581,48529.40096775703,23083.0,1581,42.765167139152176,42.964176,1581,-85.69124615749593,-85.65885,1581
92,412.71566148695337,315.0,107,110.78504672897196,80.0,107,0.7409396193905017,0.7460108397569866,107,48821.4969156254,21415.100000199993,107,42.258929102803656,42.513636,107,-92.52222392523373,-92.45609,107
93,573.5847220267644,522.0,1209,102.30272952853598,67.0,1209,0.7506541912312261,0.7595575342524608,1209,57428.441803161506,26580.0,1209,35.94919441521942,35.915083,1209,-78.85142627129811,-78.857651,1209
94,693.6569144724173,602.61538462,681,85.13656387665198,53.0,681,0.7584250366847117,0.7683110441944913,681,63807.74126286518,25139.9999994,681,42.87326444640239,42.880107,681,-78.83918499265774,-78.8699,681
95,814.8440610582975,683.0,1649,101.74287446937538,67.0,1649,0.7531730179435185,0.7588387505748733,1649,80435.82881744942,43155.0,1649,43.06775761552552,43.046213,1649,-88.02955298120162,-87.94343,1649
96,880.4062935004441,748.06122449,225,82.26666666666667,54.0,225,0.7577652952779955,0.768124561700118,225,77844.34222229866,29548.0,225,30.28237017333334,30.226399,225,-93.61790417777769,-93.3636,225
97,420.0508174790483,357.35260679,538,90.09293680297398,52.0,538,0.7360696517223381,0.7382769514777137,538,39948.04959104238,17610.999999986503,538,44.185118652416406,44.265633,538,-72.68577222676555,-72.96325,538
98,731.9066028419879,567.0,816,92.68382352941177,59.0,816,0.7522294265778489,0.7616839940371265,816,71067.84954652614,28021.5,816,31.138423020833443,31.036286999999998,816,-97.52838387622437,-97.492017,816
99,550.0164755582379,479.0,337,100.89910979228486,67.0,337,0.7362607414892584,0.7441588785046729,337,51817.98382784071,23688.0,337,36.48550149554895,36.625357,337,-108.4748988130564,-108.19225,337
100,802.0247728175932,682.55617448,556,110.09532374100719,74.0,556,0.7471070935217714,0.7590261712427235,556,88253.96967618572,39352.999999780004,556,32.31118142446054,32.325214,556,-95.17350091007131,-95.29467,556
101,712.7887017852838,528.0343915349999,342,113.89473684210526,74.0,342,0.7466837746663024,0.7564220786603685,342,71752.25096502742,30079.59999988,342,47.55965722807011,47.66655,342,-117.22031520467819,-117.43173999999999,342
102,895.3416826258797,802.0,707,98.16265912305516,65.0,707,0.754405135019995,0.7621676579067381,707,94083.14265911099,41672.0,707,30.447056209335116,30.411391,707,-91.00792393210736,-91.1497,707
103,397.746056160949,261.0,235,93.53617021276595,66.0,235,0.7522473482217481,0.7610961122776169,235,40708.68680864122,19314.0,235,44.97159668936173,44.74136,235,-85.16598731914884,-85.46006,235
104,674.8416293632963,485.50359712,875,79.51885714285714,49.0,875,0.7526330516295099,0.759600109496027,875,61054.88281143271,20194.0,875,32.2220623291429,32.240571,875,-110.93090109028597,-110.94434299999999,875
105,636.6685789164551,522.55555556,393,104.89821882951654,74.0,393,0.7442248941049294,0.7537565513405776,393,66947.54239182442,32329.99999964,393,30.826839050890587,30.573563,393,-84.02955142748091,-84.16049,393
106,372.4137751370056,312.0,177,111.80790960451978,77.0,177,0.743452268509216,0.75565985643291,177,38812.99378524022,19280.000000170003,177,46.855567265536784,47.476152,177,-111.3758340677965,-111.26908999999999,177
107,945.0569746154565,926.0,901,82.56048834628191,52.0,901,0.7580285078123424,0.7662008277605434,901,83314.88413972998,35448.0,901,36.15933922641543,36.184219,901,-115.17910244395074,-115.16292,901
108,661.4189001792392,583.6469298249999,988,109.3006072874494,76.0,988,0.7555492116137543,0.7645083312730208,988,72804.99291502204,35970.0,988,38.21606310020258,38.252854,988,-85.7079750202429,-85.73899999999999,988
109,639.9089282934735,481.29,679,110.77319587628865,70.0,679,0.7514124801268485,0.7594913035598084,679,78521.43674513373,26808.18,679,34.00481744329873,34.066271,679,-80.98889340795351,-81.02492,679
110,766.3687483928513,717.0859375,614,86.30944625407166,56.0,614,0.7475536773881761,0.7583081190524534,614,71940.38749188936,27644.50000009,614,33.4790123208469,33.386041,614,-82.08917622475597,-82.09099599999999,614
111,603.5672237489957,269.21000000000004,220,97.7,63.0,220,0.7459498463274012,0.7517844819426291,220,57905.61345452419,18207.0,220,31.975262027272752,32.0571865,220,-100.02015818181776,-99.79885999999999,220
112,567.6120111324656,499.07692308,1267,90.97474348855565,50.0,1267,0.8062176730573051,0.7843359818388195,1267,52531.19108911486,16896.0,1267,34.036134389108035,34.050764,1267,-117.27418162588923,-117.25327,1267
